"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"1","2019-09-09T03:00:00-00:00","2019-09-09T04:00:00-00:00",0,"2019-09-08",21,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5009,"ACTUAL",1
"2","2019-09-08T17:00:00-00:00","2019-09-08T18:00:00-00:00",0,"2019-09-08",11,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,4423,"ACTUAL",1
"3","2019-09-08T21:00:00-00:00","2019-09-08T22:00:00-00:00",0,"2019-09-08",15,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5325,"ACTUAL",1
"4","2019-09-08T13:00:00-00:00","2019-09-08T14:00:00-00:00",0,"2019-09-08",7,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3570,"ACTUAL",1
"5","2019-09-08T11:00:00-00:00","2019-09-08T12:00:00-00:00",0,"2019-09-08",5,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3594,"ACTUAL",1
"6","2019-09-08T10:00:00-00:00","2019-09-08T11:00:00-00:00",0,"2019-09-08",4,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3643,"ACTUAL",1
"7","2019-09-09T02:00:00-00:00","2019-09-09T03:00:00-00:00",0,"2019-09-08",20,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5245,"ACTUAL",1
"8","2019-09-09T01:00:00-00:00","2019-09-09T02:00:00-00:00",0,"2019-09-08",19,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5404,"ACTUAL",1
"9","2019-09-08T23:00:00-00:00","2019-09-09T00:00:00-00:00",0,"2019-09-08",17,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5568,"ACTUAL",1
"10","2019-09-09T04:00:00-00:00","2019-09-09T05:00:00-00:00",0,"2019-09-08",22,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,4706,"ACTUAL",1
"11","2019-09-08T12:00:00-00:00","2019-09-08T13:00:00-00:00",0,"2019-09-08",6,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3558,"ACTUAL",1
"12","2019-09-08T20:00:00-00:00","2019-09-08T21:00:00-00:00",0,"2019-09-08",14,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5139,"ACTUAL",1
"13","2019-09-08T09:00:00-00:00","2019-09-08T10:00:00-00:00",0,"2019-09-08",3,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3737,"ACTUAL",1
"14","2019-09-08T16:00:00-00:00","2019-09-08T17:00:00-00:00",0,"2019-09-08",10,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,4175,"ACTUAL",1
"15","2019-09-08T08:00:00-00:00","2019-09-08T09:00:00-00:00",0,"2019-09-08",2,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3875,"ACTUAL",1
"16","2019-09-08T22:00:00-00:00","2019-09-08T23:00:00-00:00",0,"2019-09-08",16,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5476,"ACTUAL",1
"17","2019-09-08T18:00:00-00:00","2019-09-08T19:00:00-00:00",0,"2019-09-08",12,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,4682,"ACTUAL",1
"18","2019-09-08T14:00:00-00:00","2019-09-08T15:00:00-00:00",0,"2019-09-08",8,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3730,"ACTUAL",1
"19","2019-09-09T05:00:00-00:00","2019-09-09T06:00:00-00:00",0,"2019-09-08",23,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,4355,"ACTUAL",1
"20","2019-09-08T15:00:00-00:00","2019-09-08T16:00:00-00:00",0,"2019-09-08",9,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3945,"ACTUAL",1
"21","2019-09-09T06:00:00-00:00","2019-09-09T07:00:00-00:00",0,"2019-09-08",24,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,4044,"ACTUAL",1
"22","2019-09-08T19:00:00-00:00","2019-09-08T20:00:00-00:00",0,"2019-09-08",13,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,4931,"ACTUAL",1
"23","2019-09-09T00:00:00-00:00","2019-09-09T01:00:00-00:00",0,"2019-09-08",18,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5545,"ACTUAL",1
"24","2019-09-09T03:00:00-00:00","2019-09-09T04:00:00-00:00",0,"2019-09-08",21,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1482,"ACTUAL",2
"25","2019-09-08T22:00:00-00:00","2019-09-08T23:00:00-00:00",0,"2019-09-08",16,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1524,"ACTUAL",2
"26","2019-09-08T21:00:00-00:00","2019-09-08T22:00:00-00:00",0,"2019-09-08",15,0,"ACTUAL","BANCSMUD","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1417,"ACTUAL",2
