"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"1","2019-10-02T00:00:00-00:00","2019-10-02T01:00:00-00:00",0,"2019-10-01",18,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3816,"ACTUAL",1
"2","2019-10-01T08:00:00-00:00","2019-10-01T09:00:00-00:00",0,"2019-10-01",2,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2523,"ACTUAL",1
"3","2019-10-01T14:00:00-00:00","2019-10-01T15:00:00-00:00",0,"2019-10-01",8,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2701,"ACTUAL",1
"4","2019-10-01T19:00:00-00:00","2019-10-01T20:00:00-00:00",0,"2019-10-01",13,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3045,"ACTUAL",1
"5","2019-10-01T13:00:00-00:00","2019-10-01T14:00:00-00:00",0,"2019-10-01",7,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2769,"ACTUAL",1
"6","2019-10-02T06:00:00-00:00","2019-10-02T07:00:00-00:00",0,"2019-10-01",24,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2783,"ACTUAL",1
"7","2019-10-01T17:00:00-00:00","2019-10-01T18:00:00-00:00",0,"2019-10-01",11,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2658,"ACTUAL",1
"8","2019-10-01T11:00:00-00:00","2019-10-01T12:00:00-00:00",0,"2019-10-01",5,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2540,"ACTUAL",1
"9","2019-10-02T05:00:00-00:00","2019-10-02T06:00:00-00:00",0,"2019-10-01",23,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3026,"ACTUAL",1
"10","2019-10-02T04:00:00-00:00","2019-10-02T05:00:00-00:00",0,"2019-10-01",22,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3318,"ACTUAL",1
"11","2019-10-02T03:00:00-00:00","2019-10-02T04:00:00-00:00",0,"2019-10-01",21,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3565,"ACTUAL",1
"12","2019-10-02T01:00:00-00:00","2019-10-02T02:00:00-00:00",0,"2019-10-01",19,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3788,"ACTUAL",1
"13","2019-10-01T16:00:00-00:00","2019-10-01T17:00:00-00:00",0,"2019-10-01",10,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2613,"ACTUAL",1
"14","2019-10-01T15:00:00-00:00","2019-10-01T16:00:00-00:00",0,"2019-10-01",9,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2627,"ACTUAL",1
"15","2019-10-01T12:00:00-00:00","2019-10-01T13:00:00-00:00",0,"2019-10-01",6,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2691,"ACTUAL",1
"16","2019-10-01T10:00:00-00:00","2019-10-01T11:00:00-00:00",0,"2019-10-01",4,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,2455,"ACTUAL",1
"17","2019-10-02T02:00:00-00:00","2019-10-02T03:00:00-00:00",0,"2019-10-01",20,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3689,"ACTUAL",1
"18","2019-10-01T23:00:00-00:00","2019-10-02T00:00:00-00:00",0,"2019-10-01",17,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3719,"ACTUAL",1
"19","2019-10-01T21:00:00-00:00","2019-10-01T22:00:00-00:00",0,"2019-10-01",15,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3443,"ACTUAL",1
"20","2019-10-01T20:00:00-00:00","2019-10-01T21:00:00-00:00",0,"2019-10-01",14,0,"ACTUAL","AZPS","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,3258,"ACTUAL",1
