Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,0.0
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,36.3615
vehicle,1,11,0.0,0.0,3.8700000000023778
vehicle,1,12,0.0,0.0,35.66324999999999
vehicle,1,13,0.0,0.0,35.12075000000001
vehicle,1,14,0.0,0.0,34.72875000000001
vehicle,1,15,0.0,0.0,34.97900000000001
vehicle,1,16,0.0,0.0,35.903
vehicle,1,17,0.0,0.0,36.795500000000004
vehicle,1,18,0.0,0.0,38.227000000000004
vehicle,1,19,0.0,0.0,40.488
vehicle,1,20,0.0,0.0,42.3885
vehicle,1,21,0.0,0.0,41.06025
vehicle,1,22,0.0,0.0,38.395
vehicle,1,23,0.0,0.0,36.183
vehicle,1,24,0.0,0.0,34.81975
