DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[1189.6814706293314],[5192341.679640588],[0.0],[1915611.8344801133],[7106763.832650072]
[987.3807678449859],[5442700.3919007955],[2.688713529748718],[1972360.5698471665],[7414076.2696936475]
[0.0],[5305015.301854891],[0.0],[1956413.0290615305],[7261428.3309164215]
[0.0],[0.0],[0.0],[0.0],[0.0]
[612.699800280386],[5403089.205935746],[0.0],[1976432.9331819536],[7378909.43931742]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5737251.833813424],[0.0],[2027254.567538701],[7764506.401352125]
[563.8046784969176],[5468635.985418646],[0.0],[2017447.5530415527],[7485519.733781702]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5466852.959666295],[0.0],[1979844.9717835481],[7446697.931449844]
[0.0],[5817116.520769996],[0.0],[2114771.512023828],[7931888.032793824]
[0.0],[5396021.9181830175],[2.688713529748718],[1956572.2372570056],[7352596.844153553]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5655080.841617627],[0.0],[1990250.0816157747],[7645330.923233402]
[0.0],[5201922.316106046],[0.0],[1873093.2691538443],[7075015.58525989]
[0.0],[5129711.232107785],[0.0],[1840497.9612732308],[6970209.193381015]
[0.0],[5584730.21599827],[0.0],[2020479.8315877235],[7605210.047585993]
[0.0],[5371380.583273496],[0.0],[1933264.7608809457],[7304645.344154442]
[0.0],[5558076.0227647545],[0.0],[2047142.8309552527],[7605218.853720007]
[620.9657719291495],[5595151.168875382],[0.0],[2037717.8746527852],[7632248.077756238]
[0.0],[5908175.224999372],[0.0],[2040939.2584850222],[7949114.483484394]
[0.0],[5837660.418928511],[0.0],[1930638.2558817994],[7768298.674810311]
[1930.07988317965],[5676119.0215124125],[0.0],[1844741.153309212],[7518930.094938445]
[0.0],[6205791.761792624],[0.0],[1897580.2322021828],[8103371.993994807]
[666.8524060736585],[5266025.52979104],[0.0],[1864820.471566473],[7130179.14895144]
[1386.8314230954675],[5427454.365976857],[2.688713529748718],[1885372.4587257826],[7311442.681993074]
[788.79997910818],[5180301.6453074915],[0.0],[1832906.0404964224],[7012418.885824806]
[0.0],[5366217.600495869],[0.0],[1955508.234488234],[7321725.834984103]
[0.0],[0.0],[0.0],[0.0],[0.0]
[1125.9629636173875],[5606064.6681852415],[0.0],[2002145.9648548227],[7607084.670076447]
[570.5838122830271],[4891638.5785025535],[13.301360463601132],[1753811.186762725],[6644892.482813459]
