DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[1189.6814706293314],[5192341.679640588],[0.0],[1915611.8344801133],[7106763.832650072]
[987.3807678449859],[5442700.3919007955],[2.688713529748718],[1972360.5698471665],[7414076.2696936475]
[0.0],[5305015.301854891],[0.0],[1956413.0290615305],[7261428.3309164215]
[0.0],[0.0],[0.0],[0.0],[0.0]
[612.699800280386],[5403089.205935746],[0.0],[1976432.9331819536],[7378909.43931742]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5737251.833813424],[0.0],[2027254.567538701],[7764506.401352125]
[563.8046784969176],[5468635.985418646],[0.0],[2017447.5530415527],[7485519.733781702]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5466852.959666295],[0.0],[1979844.9717835481],[7446697.931449844]
[0.0],[5817116.520769996],[0.0],[2114771.512023828],[7931888.032793824]
[0.0],[5396021.9181830175],[2.688713529748718],[1956572.2372570056],[7352596.844153553]
[0.0],[0.0],[0.0],[0.0],[0.0]
[0.0],[5655080.841617627],[0.0],[1990250.0816157747],[7645330.923233402]
[0.0],[5201922.316106046],[0.0],[1873093.2691538443],[7075015.58525989]
