Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,124.03000000000002
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,126.15000000000002
vehicle,1,11,0.0,0.0,127.71000000000075
vehicle,1,12,0.0,0.0,128.77
vehicle,1,13,0.0,0.0,131.68500000000074
vehicle,1,14,0.0,0.0,136.6
vehicle,1,15,0.0,0.0,141.855
vehicle,1,16,0.0,0.0,146.95000000000005
vehicle,1,17,0.0,0.0,151.025
vehicle,1,18,0.0,0.0,153.41500000000002
vehicle,1,19,0.0,0.0,154.86
vehicle,1,20,0.0,0.0,153.94
vehicle,1,21,0.0,0.0,145.53500000000003
vehicle,1,22,0.0,0.0,132.775
vehicle,1,23,0.0,0.0,121.44500000000002
vehicle,1,24,0.0,0.0,113.85000000000002
