DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[169423.21426098005],[83807.86293966226],[0.0],[10804.561460916688],[-74810.7898604011]
[175085.1029968808],[84265.50392965513],[0.0],[10401.447000000002],[-80418.15206722567]
[154489.88108454115],[73231.69221304737],[0.0],[10166.947039030612],[-71091.24183246317]
[205631.93209210312],[82952.0639630007],[0.0],[11240.909054544602],[-111438.95907455782]
[165840.87134716145],[80577.75372217003],[0.0],[11320.982054544604],[-73942.13557044682]
[157006.36430671252],[80524.23136709887],[0.0],[11283.521406372089],[-65198.611533241565]
[172076.15470777106],[128790.97521559047],[0.0],[11358.165],[-31927.014492180577]
[178137.6100349566],[96786.28760625407],[0.0],[11195.5174454027],[-70155.80498329982]
[153114.35569898348],[69657.17051806793],[0.0],[10464.069000000001],[-72993.11618091555]
[144026.46564850942],[67275.95485269238],[0.0],[10295.145],[-66455.36579581704]
