Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,117.39000000000709,0.0,38.81500000000001
vehicle,1,2,134.24600000000288,0.0,37.63374999999999
vehicle,1,3,129.43,0.0,37.051
vehicle,1,4,129.94600000000955,0.0,37.4675
vehicle,1,5,115.06800000000963,0.0,39.10375
vehicle,1,6,148.4790000000064,0.0,41.02
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,43.43674999999999
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,43.995000000000026
vehicle,1,11,0.0,0.0,44.646
vehicle,1,12,0.0,0.0,45.40025000000001
vehicle,1,13,0.0,0.0,46.45549999999999
vehicle,1,14,0.0,0.0,48.501250000000006
vehicle,1,15,0.0,0.0,49.86975
vehicle,1,16,0.0,0.0,51.401
vehicle,1,17,0.0,0.0,52.515750000000004
vehicle,1,18,0.0,0.0,52.75899999999999
vehicle,1,19,0.0,0.0,52.31800000000002
vehicle,1,20,809.3460000000118,0.0,51.653
vehicle,1,21,701.1977909467109,0.0,49.731500000000004
vehicle,1,22,0.0,0.0,46.31549999999999
vehicle,1,23,0.0,0.0,42.86275
vehicle,1,24,0.0,0.0,40.10475
