DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[155168.0370630603],[97221.2963581549],[0.0],[10710.452406372087],[-47236.28829853331]
[148294.00696973575],[76125.84564001192],[0.0],[10570.000039030614],[-61598.16129069323]
[140108.50202261232],[94278.73887862256],[0.0],[10562.650039030617],[-35267.113104959135]
[133432.8977726906],[64654.262902898845],[0.0],[10605.021],[-58173.61386979176]
[167950.90789421066],[126508.8230120792],[0.0],[10516.170000000002],[-30925.914882131445]
[155164.3840727629],[71602.85301228991],[0.0],[9539.815460916689],[-74021.71559955631]
[165369.69704969137],[82234.4363830688],[0.0],[9467.689039030614],[-73667.57162759197]
[155701.7888702736],[134296.02734132565],[0.0],[10964.706445402699],[-10441.055083545245]
[267153.94621918735],[327497.0559132849],[0.0],[10361.253000000002],[70704.36269409757]
[154898.93935483473],[96584.51092152992],[0.0],[10388.056039030613],[-47926.37239427419]
[187480.21550915122],[119566.70959852892],[0.0],[10651.44240637209],[-57262.06350425021]
[171009.61359207192],[76921.90088966498],[0.0],[10354.877054544602],[-83732.83564786235]
[164437.10948187677],[65401.31913373937],[0.0],[9630.873],[-89404.9173481374]
[140114.9957572734],[119759.84405581861],[0.0],[9261.137406372087],[-11094.0142950827]
[159300.0766927473],[99399.84812922217],[0.0],[10496.490445402698],[-49403.738118122434]
[172324.4487806646],[83444.0897745102],[0.0],[10667.346445402698],[-78213.0125607517]
[168404.92526226494],[92608.92225391112],[0.0],[10762.983],[-65033.02000835381]
[136171.7721169239],[104196.67798941997],[0.0],[11270.203039030615],[-20704.89108847332]
[146119.4197373636],[105307.05162138354],[0.0],[11021.388000000003],[-29790.98011598007]
