Hour,pr_e,pr_fre_u,pr_fre_d
0,32.680306238149825,2.667638754395772,12.0
1,32.680306238149825,2.667376148505184,2.54717333503316
2,32.680306238149825,2.667376148505184,2.6595900715582688
3,32.680306238149825,2.66175417304156,12.0
4,32.680306238149825,2.6595900715582688,12.0
5,32.680306238149825,2.6638171251961857,12.0
6,59.312187738365,2.908030623814983,2.6616694532098832
7,32.680306238149825,2.6665382609125037,12.0
8,32.680306238149825,2.6836834480486558,2.6616694532098832
9,32.680306238149825,2.6605399918372683,12.0
10,32.680306238149825,2.5466437961516224,12.0
11,32.680306238149825,2.5466437961516224,12.0
12,32.680306238149825,2.5466437961516224,12.0
13,32.680306238149825,2.5466437961516224,12.0
14,32.680306238149825,2.5466437961516224,12.0
15,32.680306238149825,2.5466437961516224,12.0
16,32.680306238149825,2.6605399918372683,12.0
17,32.680306238149825,2.7006803108336865,12.0
18,59.75677719245546,2.908030623814983,12.0
19,59.75677719245546,2.908030623814983,12.0
20,30.867868225027188,2.7260082489679984,12.0
21,30.867868225027188,2.7079687948625755,12.0
22,30.867868225027188,2.6853193650087115,12.0
23,30.867868225027188,2.6660749703112274,12.0
