Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,115.495
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,116.6
vehicle,1,11,0.0,0.0,116.28500000000005
vehicle,1,12,0.0,0.0,116.82000000000002
vehicle,1,13,0.0,0.0,119.175
vehicle,1,14,0.0,0.0,120.16
vehicle,1,15,0.0,0.0,123.65500000000003
vehicle,1,16,0.0,0.0,127.435
vehicle,1,17,0.0,0.0,131.25
vehicle,1,18,0.0,0.0,134.73000000000008
vehicle,1,19,0.0,0.0,136.6050000000004
vehicle,1,20,0.0,0.0,139.03
vehicle,1,21,0.0,0.0,134.66000000000003
vehicle,1,22,0.0,0.0,123.505
vehicle,1,23,0.0,0.0,113.82
vehicle,1,24,0.0,0.0,107.855
