Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,37.15775
vehicle,1,2,0.0,0.0,36.0255
vehicle,1,3,0.0,0.0,35.40425000000001
vehicle,1,4,0.0,0.0,35.51275000000001
vehicle,1,5,0.0,0.0,36.28800000000001
vehicle,1,6,0.0,0.0,36.8515
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,37.56200000000002
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,35.80849999999999
vehicle,1,11,0.0,0.0,35.49350000000002
vehicle,1,12,0.0,0.0,35.460249999999995
vehicle,1,13,0.0,0.0,35.85925000000001
vehicle,1,14,0.0,0.0,36.71675000000001
vehicle,1,15,0.0,0.0,38.1535
vehicle,1,16,0.0,0.0,39.998000000000005
vehicle,1,17,0.0,0.0,41.9184212120502
vehicle,1,18,0.0,0.0,43.694
vehicle,1,19,582.5131086762906,0.0,44.92425
vehicle,1,20,711.6613053811992,0.0,45.764250000000004
vehicle,1,21,275.9407138516733,0.0,44.22425000000001
vehicle,1,22,186.199412868772,0.0,41.72
vehicle,1,23,155.7345423546575,0.0,39.487
vehicle,1,24,159.40193546570129,0.0,36.821750000000435
