Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,0.0
vehicle,1,2,0.0,0.0,0.0
vehicle,1,3,0.0,0.0,0.0
vehicle,1,4,0.0,0.0,0.0
vehicle,1,5,0.0,0.0,0.0
vehicle,1,6,0.0,0.0,0.0
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,39.396
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,38.8815
vehicle,1,11,0.0,0.0,38.9095
vehicle,1,12,0.0,0.0,39.341750000000005
vehicle,1,13,0.0,0.0,40.31475
vehicle,1,14,0.0,0.0,30.95999999999999
vehicle,1,15,0.0,0.0,43.44375
vehicle,1,16,0.0,0.0,45.356500000000004
vehicle,1,17,0.0,0.0,47.3235
vehicle,1,18,0.0,0.0,49.30625
vehicle,1,19,0.0,0.0,49.86275
vehicle,1,20,0.0,0.0,50.03425000000002
vehicle,1,21,0.0,0.0,49.09450000000001
vehicle,1,22,0.0,0.0,46.01975
vehicle,1,23,0.0,0.0,42.60725
vehicle,1,24,0.0,0.0,39.985749999999996
