Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,34.45224999999999
vehicle,1,2,0.0,0.0,33.50899999999999
vehicle,1,3,0.0,0.0,32.98225
vehicle,1,4,0.0,0.0,33.04525
vehicle,1,5,0.0,0.0,33.66825
vehicle,1,6,0.0,0.0,33.68575
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,35.091
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,35.16975
vehicle,1,11,0.0,0.0,34.60275
vehicle,1,12,0.0,0.0,33.750499999999995
vehicle,1,13,0.0,0.0,33.33575
vehicle,1,14,0.0,0.0,33.30425
vehicle,1,15,0.0,0.0,34.077749999999995
vehicle,1,16,0.0,0.0,35.45675
vehicle,1,17,0.0,0.0,36.9239212120502
vehicle,1,18,0.0,0.0,38.669750000000015
vehicle,1,19,272.5083978362272,0.0,40.40575
vehicle,1,20,776.64818070048,0.0,42.07175
vehicle,1,21,1203.5482892683403,0.0,41.26325
vehicle,1,22,99.29080963614292,0.0,39.07575
vehicle,1,23,57.19000000000003,0.0,36.646750000000026
vehicle,1,24,58.84232255884155,0.0,34.64570053100716
