DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[446410.7985366652],[0.0],[0.0],[20589.982189647657],[-425820.81634701754]
[432728.3915371628],[0.0],[0.0],[20961.24205665022],[-411767.1494805126]
[399800.0459045399],[0.0],[0.0],[21121.92205665021],[-378678.12384788966]
[304709.94655360177],[0.0],[0.0],[19447.64],[-285262.30655360175]
[323565.7341829498],[0.0],[0.0],[17994.600000000002],[-305571.13418294984]
[421715.1819145498],[0.0],[0.0],[19622.022189647658],[-402093.1597249021]
[433457.7001772995],[0.0],[0.0],[19935.202056650214],[-413522.4981206493]
[306333.2656041481],[0.0],[0.0],[21464.54424629787],[-284868.72135785024]
[408559.96247475833],[217981.17547491938],[0.0],[21520.08],[-169058.70699983893]
[491878.19640985294],[271373.1469175786],[0.0],[20930.642056650217],[-199574.40743562416]
