DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
[446410.7985366652],[0.0],[0.0],[20589.982189647657],[-425820.81634701754]
[432728.3915371628],[0.0],[0.0],[20961.24205665022],[-411767.1494805126]
[399800.0459045399],[0.0],[0.0],[21121.92205665021],[-378678.12384788966]
[304709.94655360177],[0.0],[0.0],[19447.64],[-285262.30655360175]
[323565.7341829498],[0.0],[0.0],[17994.600000000002],[-305571.13418294984]
[421715.1819145498],[0.0],[0.0],[19622.022189647658],[-402093.1597249021]
[433457.7001772995],[0.0],[0.0],[19935.202056650214],[-413522.4981206493]
[306333.2656041481],[0.0],[0.0],[21464.54424629787],[-284868.72135785024]
[408559.96247475833],[217981.17547491938],[0.0],[21520.08],[-169058.70699983893]
[491878.19640985294],[271373.1469175786],[0.0],[20930.642056650217],[-199574.40743562416]
[394819.3643023793],[0.0],[0.0],[19339.462189647656],[-375479.90211273165]
[307241.0036116542],[0.0],[0.0],[19052.800000000003],[-288188.20361165423]
[559558.688436291],[0.0],[876.6037823801047],[20429.880000000005],[-538252.2046539108]
[404343.74584107054],[255933.72170485015],[0.0],[21482.98424629787],[-126927.03988992254]
[494888.687582012],[269885.14764107816],[0.0],[21409.104246297866],[-203594.43569463596]
[465326.893222227],[274103.6043603561],[0.0],[20416.984246297867],[-170806.30461557303]
[351868.49561534636],[0.0],[0.0],[19830.042056650214],[-332038.45355869614]
[449242.58691220963],[0.0],[0.0],[19036.762056650216],[-430205.8248555594]
[481457.6609152958],[0.0],[0.0],[18127.882056650218],[-463329.7788586456]
[360572.60695204313],[0.0],[0.0],[19516.622189647656],[-341055.9847623955]
[303010.9622557993],[0.0],[0.0],[19927.680000000008],[-283083.28225579933]
[298821.7321320649],[0.0],[0.0],[19845.002056650213],[-278976.73007541464]
[462795.8997518437],[243374.40728106291],[0.0],[20419.90424629787],[-199001.5882244829]
[425951.0988557838],[0.0],[0.0],[19668.82218964766],[-406282.27666613617]
[326195.11478731176],[0.0],[0.0],[17961.582189647655],[-308233.5325976641]
[345337.2876408546],[0.0],[0.0],[17401.92205665021],[-327935.3655842044]
[319920.018809131],[92711.90508224041],[0.0],[17412.802056650213],[-209795.31167024036]
[377966.2601635008],[0.0],[0.0],[19705.52],[-358260.74016350077]
