Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,40.02600000000001
vehicle,1,2,0.0,0.0,38.51225
vehicle,1,3,0.0,0.0,37.576
vehicle,1,4,0.0,0.0,37.40275
vehicle,1,5,0.0,0.0,37.49725
vehicle,1,6,0.0,0.0,37.57775
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,39.1475
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,40.148500000000006
vehicle,1,11,0.0,0.0,41.468
vehicle,1,12,0.0,0.0,43.202250000000014
vehicle,1,13,0.0,0.0,45.78
vehicle,1,14,0.0,0.0,48.79000000000003
vehicle,1,15,0.0,0.0,51.93125
vehicle,1,16,0.0,0.0,54.68050000000001
vehicle,1,17,0.0,0.0,56.78575
vehicle,1,18,81.9150000000128,0.0,57.23900000000001
vehicle,1,19,854.4100000000077,0.0,56.48474999999998
vehicle,1,20,932.0370185982501,0.0,55.17574999999999
vehicle,1,21,108.36,0.0,51.91375000000001
vehicle,1,22,45.62300000000225,0.0,47.58775
vehicle,1,23,45.967000000014984,0.0,43.86725000000002
vehicle,1,24,51.16999999999998,0.0,41.24495053100716
