Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,99.38499999999993
vehicle,1,2,0.0,0.0,96.78
vehicle,1,3,0.0,0.0,96.1600000000001
vehicle,1,4,0.0,0.0,98.845
vehicle,1,5,0.0,0.0,105.72500000000004
vehicle,1,6,0.0,0.0,116.62500000000009
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,120.94
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,117.59
vehicle,1,11,0.0,0.0,116.21000000000002
vehicle,1,12,0.0,0.0,114.735
vehicle,1,13,0.0,0.0,113.73000000000002
vehicle,1,14,0.0,0.0,114.09000000000002
vehicle,1,15,0.0,0.0,115.29000000000002
vehicle,1,16,0.0,0.0,118.16000000000004
vehicle,1,17,0.0,0.0,121.76771530127678
vehicle,1,18,0.0,0.0,126.24500000000003
vehicle,1,19,0.0,0.0,0.0
vehicle,1,20,0.0,0.0,133.4250000000001
vehicle,1,21,0.0,0.0,0.0
vehicle,1,22,0.0,0.0,0.0
vehicle,1,23,0.0,0.0,110.33877088999999
vehicle,1,24,0.0,0.0,103.37377089000002
