DemandCost,GenerationRevenue,RegUpRev,RegDownRev,RevenueTotal
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
509524.29176527803,248826.4963841622,0.0,21235.88,-239461.91538111586
488422.2531125527,138858.24349247466,0.0,20193.120000000003,-329370.88962007803
0.0,0.0,0.0,0.0,0.0
649480.0628282741,368487.3276244656,0.0,21268.822189647653,-259723.91301416088
532008.4392451977,284115.58183617255,0.0,21125.64,-226767.21740902512
0.0,0.0,0.0,0.0,0.0
859091.3308260253,197070.8015349802,0.0,20165.840000000007,-641854.6892910452
502481.1589989319,218173.78292151255,0.0,19536.120000000003,-264771.2560774193
557315.8434076709,316977.1234054266,0.0,19132.0,-221206.72000224423
