Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,43.00000000000095,0.0,32.655
vehicle,1,2,88.63129976193369,0.0,31.769499999999997
vehicle,1,3,113.39100000001424,0.0,31.45275
vehicle,1,4,70.26200000000452,0.0,31.678500000000003
vehicle,1,5,61.275000000017684,0.0,32.52025
vehicle,1,6,0.0,0.0,32.670750000000005
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,32.64975
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,32.59200000000001
vehicle,1,11,0.0,0.0,32.84925
vehicle,1,12,0.0,0.0,32.55175
vehicle,1,13,0.0,0.0,32.65850000000001
vehicle,1,14,0.0,0.0,32.83700000000001
vehicle,1,15,0.0,0.0,32.9105
vehicle,1,16,0.0,0.0,34.29475
vehicle,1,17,0.0,0.0,36.49487658588439
vehicle,1,18,0.0,0.0,38.22175
vehicle,1,19,0.0,0.0,40.06275
vehicle,1,20,0.0,0.0,42.05075000000001
vehicle,1,21,0.0,0.0,41.1355
vehicle,1,22,0.0,0.0,38.23575000000001
vehicle,1,23,288.9600000000002,0.0,0.0
vehicle,1,24,278.5723225588415,0.0,33.71035500000001
