Generator,Day,Hour,gen_capacity_veh,regup_capacity_veh,regdown_capacity_veh
vehicle,1,1,0.0,0.0,123.83
vehicle,1,2,0.0,0.0,119.485
vehicle,1,3,0.0,0.0,117.72
vehicle,1,4,0.0,0.0,118.94
vehicle,1,5,0.0,0.0,123.435
vehicle,1,6,0.0,0.0,129.41
vehicle,1,7,0.0,0.0,0.0
vehicle,1,8,0.0,0.0,139.065
vehicle,1,9,0.0,0.0,0.0
vehicle,1,10,0.0,0.0,147.15499999999997
vehicle,1,11,0.0,0.0,152.55999999999997
vehicle,1,12,0.0,0.0,159.31000000000003
vehicle,1,13,0.0,0.0,168.275
vehicle,1,14,0.0,0.0,176.33500000000004
vehicle,1,15,0.0,0.0,183.02499999999998
vehicle,1,16,0.0,0.0,188.33000000000004
vehicle,1,17,0.0,0.0,191.04
vehicle,1,18,0.0,0.0,189.1300000000001
vehicle,1,19,0.0,0.0,184.1700000000001
vehicle,1,20,0.0,0.0,178.05999999999997
vehicle,1,21,0.0,0.0,168.44
vehicle,1,22,0.0,0.0,155.06000000000012
vehicle,1,23,0.0,0.0,143.38
vehicle,1,24,0.0,0.0,133.275
